Date,Price,Open,High,Low,Vol.,Change %,Index
11/21/2010,"6,848.98","6,892.02","6,901.93","6,701.98",517.78M,0.08%,DAX
11/14/2010,"6,843.55","6,705.13","6,854.09","6,653.57",519.77M,1.62%,DAX
11/7/2010,"6,734.61","6,746.44","6,810.86","6,617.97",566.12M,-0.29%,DAX
10/31/2010,"6,754.20","6,637.09","6,775.17","6,586.01",471.60M,2.32%,DAX
10/24/2010,"6,601.37","6,645.45","6,668.54","6,553.25",486.78M,-0.07%,DAX
10/17/2010,"6,605.84","6,465.83","6,623.94","6,461.48",450.75M,1.75%,DAX
10/10/2010,"6,492.30","6,308.43","6,512.78","6,228.39",574.77M,3.19%,DAX
10/3/2010,"6,291.67","6,205.00","6,321.79","6,115.87",531.10M,1.29%,DAX
9/26/2010,"6,211.34","6,307.87","6,339.36","6,187.22",578.39M,-1.38%,DAX
9/19/2010,"6,298.30","6,231.28","6,339.97","6,129.44",594.27M,1.43%,DAX
9/12/2010,"6,209.76","6,258.51","6,321.20","6,185.74",641.35M,-0.08%,DAX
9/5/2010,"6,214.77","6,156.29","6,233.07","6,062.65",450.15M,1.31%,DAX
8/29/2010,"6,134.62","5,973.48","6,178.01","5,833.51",471.62M,3.08%,DAX
8/22/2010,"5,951.17","6,017.19","6,055.23","5,837.90",480.29M,-0.90%,DAX
8/15/2010,"6,005.16","6,132.78","6,229.46","5,999.63",451.57M,-1.72%,DAX
8/8/2010,"6,110.41","6,326.62","6,356.41","6,068.82",472.88M,-2.38%,DAX
8/1/2010,"6,259.63","6,187.64","6,386.97","6,182.68",531.89M,1.82%,DAX
7/25/2010,"6,147.97","6,201.02","6,253.64","6,059.19",527.22M,-0.30%,DAX
7/18/2010,"6,166.34","6,034.87","6,190.24","5,906.04",439.31M,2.09%,DAX
7/11/2010,"6,040.27","6,079.95","6,248.07","6,018.64",541.98M,-0.41%,DAX
7/4/2010,"6,065.24","5,853.75","6,078.56","5,809.37",473.13M,3.96%,DAX
6/27/2010,"5,834.15","6,097.37","6,168.99","5,827.25",550.88M,-3.90%,DAX
6/20/2010,"6,070.60","6,320.41","6,330.81","6,039.56",491.82M,-2.35%,DAX
6/13/2010,"6,216.98","6,113.46","6,256.55","6,089.32",708.39M,2.80%,DAX
6/6/2010,"6,047.83","5,876.48","6,089.43","5,798.76",659.30M,1.83%,DAX
5/30/2010,"5,938.88","5,933.58","6,114.58","5,833.61",506.33M,-0.12%,DAX
5/23/2010,"5,946.18","5,858.45","5,980.78","5,607.68",741.67M,2.01%,DAX
5/16/2010,"5,829.25","6,029.91","6,181.26","5,689.18",987.09M,-3.76%,DAX
5/9/2010,"6,056.71","5,814.41","6,276.80","5,805.98",930.91M,5.98%,DAX
5/2/2010,"5,715.09","6,122.76","6,197.00","5,655.18",1.18B,-6.86%,DAX
4/25/2010,"6,135.70","6,317.13","6,341.52","6,024.01",907.51M,-1.98%,DAX
4/18/2010,"6,259.53","6,158.60","6,287.54","6,140.38",715.00M,1.27%,DAX
4/11/2010,"6,180.90","6,283.81","6,310.76","6,162.84",638.34M,-1.10%,DAX
4/4/2010,"6,249.70","6,250.01","6,265.32","6,138.02",384.17M,0.23%,DAX
3/28/2010,"6,235.56","6,150.17","6,238.57","6,108.23",413.85M,1.89%,DAX
3/21/2010,"6,120.05","5,960.85","6,139.50","5,910.85",590.04M,2.30%,DAX
3/14/2010,"5,982.43","5,933.63","6,041.95","5,898.22",642.63M,0.63%,DAX
3/7/2010,"5,945.11","5,891.74","5,989.88","5,838.17",494.77M,1.15%,DAX
2/28/2010,"5,877.36","5,652.85","5,880.25","5,641.18",534.86M,4.98%,DAX
2/21/2010,"5,598.46","5,741.00","5,743.89","5,518.27",628.15M,-2.16%,DAX
2/14/2010,"5,722.05","5,525.74","5,729.58","5,498.07",537.28M,4.03%,DAX
2/7/2010,"5,500.39","5,476.47","5,592.27","5,434.40",637.46M,1.22%,DAX
1/31/2010,"5,434.34","5,587.50","5,733.71","5,433.02",806.86M,-3.11%,DAX
1/24/2010,"5,608.79","5,662.85","5,718.81","5,540.33",798.93M,-1.52%,DAX
1/17/2010,"5,695.32","5,897.63","5,988.80","5,639.49",627.89M,-3.07%,DAX
1/10/2010,"5,875.97","6,057.93","6,094.26","5,866.84",619.16M,-2.68%,DAX
1/3/2010,"6,037.61","5,975.52","6,058.02","5,961.25",590.46M,1.35%,DAX
12/27/2009,"5,957.43","5,977.99","6,026.69","5,949.45",121.13M,0.00%,DAX
12/20/2009,"5,957.44","5,841.81","5,988.28","5,841.69",243.35M,2.16%,DAX
12/13/2009,"5,831.21","5,803.20","5,903.43","5,752.21",612.73M,1.30%,DAX
12/6/2009,"5,756.29","5,812.11","5,812.69","5,605.43",462.98M,-1.05%,DAX
11/29/2009,"5,817.65","5,691.84","5,859.34","5,607.82",549.24M,2.32%,DAX
11/22/2009,"5,685.61","5,689.38","5,825.87","5,519.48",528.05M,0.40%,DAX
11/15/2009,"5,663.15","5,717.46","5,843.27","5,638.33",567.66M,-0.42%,DAX
11/8/2009,"5,686.83","5,514.34","5,726.38","5,514.34",463.25M,3.62%,DAX
11/1/2009,"5,488.25","5,410.61","5,526.86","5,312.64",664.81M,1.35%,DAX
10/25/2009,"5,414.96","5,764.03","5,799.42","5,394.80",822.22M,-5.67%,DAX
10/18/2009,"5,740.25","5,761.30","5,888.21","5,712.82",582.77M,-0.05%,DAX
10/11/2009,"5,743.39","5,727.31","5,885.78","5,695.16",633.36M,0.55%,DAX
10/4/2009,"5,711.88","5,477.81","5,748.33","5,440.23",523.10M,4.46%,DAX
9/27/2009,"5,467.90","5,595.36","5,756.26","5,442.32",666.45M,-2.03%,DAX
9/20/2009,"5,581.41","5,698.53","5,754.04","5,559.47",510.39M,-2.15%,DAX
9/13/2009,"5,703.83","5,599.58","5,760.83","5,532.30",616.78M,1.42%,DAX
9/6/2009,"5,624.02","5,400.76","5,653.15","5,400.76",557.02M,4.45%,DAX
8/30/2009,"5,384.43","5,474.62","5,507.48","5,263.11",477.97M,-2.41%,DAX
8/23/2009,"5,517.35","5,482.60","5,575.53","5,432.06",414.95M,1.00%,DAX
8/16/2009,"5,462.74","5,296.33","5,478.18","5,158.60",409.83M,2.89%,DAX
8/9/2009,"5,309.11","5,451.79","5,455.27","5,252.15",418.66M,-2.75%,DAX
8/2/2009,"5,458.96","5,330.87","5,480.93","5,309.35",499.57M,2.38%,DAX
7/26/2009,"5,332.14","5,277.72","5,396.95","5,159.25",534.70M,1.97%,DAX
7/19/2009,"5,229.36","5,014.50","5,301.91","5,007.95",437.46M,5.04%,DAX
7/12/2009,"4,978.40","4,564.94","5,017.60","4,524.01",474.84M,8.79%,DAX
7/5/2009,"4,576.31","4,669.66","4,703.30","4,558.00",419.53M,-2.80%,DAX
6/28/2009,"4,708.21","4,768.11","4,930.35","4,685.27",457.08M,-1.43%,DAX
6/21/2009,"4,776.47","4,837.28","4,866.80","4,669.80",496.94M,-1.30%,DAX
6/14/2009,"4,839.46","5,051.35","5,051.35","4,761.20",672.41M,-4.53%,DAX
6/7/2009,"5,069.24","5,060.72","5,133.40","4,969.96",411.07M,-0.15%,DAX
5/31/2009,"5,077.03","4,992.10","5,177.59","4,991.21",444.81M,2.76%,DAX
5/24/2009,"4,940.82","4,936.04","5,035.51","4,802.80",464.12M,0.45%,DAX
5/17/2009,"4,918.75","4,702.81","5,060.76","4,655.53",560.21M,3.83%,DAX
5/10/2009,"4,737.50","4,907.29","4,926.69","4,653.25",687.77M,-3.59%,DAX
5/3/2009,"4,913.90","4,790.03","4,980.30","4,781.97",776.47M,3.03%,DAX
4/26/2009,"4,769.45","4,625.41","4,837.22","4,547.90",610.64M,2.04%,DAX
4/19/2009,"4,674.32","4,655.84","4,674.73","4,390.70",857.52M,-0.05%,DAX
4/12/2009,"4,676.84","4,489.02","4,680.63","4,461.48",508.43M,4.14%,DAX
4/5/2009,"4,491.12","4,421.71","4,510.74","4,228.89",477.29M,2.42%,DAX
3/29/2009,"4,384.99","4,175.41","4,456.30","3,987.39",715.47M,4.32%,DAX
3/22/2009,"4,203.55","4,109.28","4,272.12","4,102.34",684.82M,3.31%,DAX
3/15/2009,"4,068.74","3,990.83","4,137.80","3,947.28",898.63M,2.91%,DAX
3/8/2009,"3,953.60","3,677.07","4,053.84","3,588.89",856.04M,7.83%,DAX
3/1/2009,"3,666.41","3,817.51","3,891.71","3,638.00",789.01M,-4.61%,DAX
2/22/2009,"3,843.74","4,057.25","4,111.52","3,764.69",828.22M,-4.26%,DAX
2/15/2009,"4,014.66","4,386.46","4,421.78","4,014.66",673.56M,-9.03%,DAX
2/8/2009,"4,413.39","4,627.83","4,688.59","4,371.47",640.48M,-4.98%,DAX
2/1/2009,"4,644.63","4,309.17","4,657.06","4,198.15",673.01M,7.06%,DAX
1/25/2009,"4,338.35","4,165.71","4,533.70","4,145.12",739.23M,3.81%,DAX
1/18/2009,"4,178.94","4,409.88","4,452.57","4,067.43",776.54M,-4.29%,DAX
1/11/2009,"4,366.28","4,765.38","4,791.96","4,295.76",829.12M,-8.73%,DAX
1/4/2009,"4,783.89","5,010.18","5,111.02","4,743.97",727.60M,-3.80%,DAX
12/28/2008,"4,973.07","4,660.17","4,974.73","4,655.91",284.83M,7.42%,DAX
12/21/2008,"4,629.38","4,693.66","4,718.60","4,575.52",245.19M,-1.43%,DAX
12/14/2008,"4,696.70","4,718.39","4,785.32","4,627.46",856.70M,0.71%,DAX
12/7/2008,"4,663.37","4,548.87","4,850.39","4,521.52",812.54M,6.43%,DAX
11/30/2008,"4,381.47","4,653.12","4,732.93","4,304.03",925.51M,-6.17%,DAX
11/23/2008,"4,669.44","4,167.71","4,703.67","4,154.55",806.22M,13.13%,DAX
11/16/2008,"4,127.41","4,700.50","4,733.79","4,034.96",878.48M,-12.37%,DAX
11/9/2008,"4,710.24","5,024.43","5,135.15","4,524.89",729.24M,-4.62%,DAX
11/2/2008,"4,938.46","5,053.94","5,302.57","4,751.24",880.78M,-0.99%,DAX
10/26/2008,"4,987.97","4,143.45","5,066.81","4,062.77",1.62B,16.12%,DAX
10/19/2008,"4,295.67","4,891.76","4,941.19","4,014.60",1.05B,-10.16%,DAX
10/12/2008,"4,781.33","4,642.02","5,383.79","4,521.91",1.52B,5.22%,DAX
10/5/2008,"4,544.31","5,606.07","5,606.07","4,308.00",1.73B,-21.61%,DAX
9/28/2008,"5,797.03","6,010.10","6,015.59","5,617.81",1.19B,-4.39%,DAX
9/21/2008,"6,063.50","6,188.58","6,235.13","6,001.01",787.48M,-2.04%,DAX
9/14/2008,"6,189.53","6,138.42","6,220.29","5,812.77",1.74B,-0.73%,DAX
9/7/2008,"6,234.89","6,262.34","6,356.80","6,086.30",852.05M,1.75%,DAX
8/31/2008,"6,127.44","6,400.85","6,553.90","6,095.56",761.14M,-4.59%,DAX
8/24/2008,"6,422.30","6,332.94","6,457.93","6,238.07",548.99M,1.26%,DAX
8/17/2008,"6,342.42","6,436.14","6,485.91","6,219.10",555.38M,-1.61%,DAX
8/10/2008,"6,446.02","6,570.52","6,626.70","6,369.58",665.83M,-1.76%,DAX
8/3/2008,"6,561.65","6,403.30","6,620.77","6,322.01",725.86M,2.58%,DAX
7/27/2008,"6,396.46","6,428.36","6,540.45","6,264.74",717.30M,-0.63%,DAX
7/20/2008,"6,436.71","6,381.44","6,577.10","6,322.03",853.27M,0.85%,DAX
7/13/2008,"6,382.65","6,184.65","6,396.30","5,999.32",972.98M,3.73%,DAX
7/6/2008,"6,153.30","6,312.32","6,416.24","6,139.74",802.42M,-1.90%,DAX
6/29/2008,"6,272.21","6,423.37","6,446.54","6,200.56",869.76M,-2.33%,DAX
6/22/2008,"6,421.91","6,586.83","6,628.72","6,348.03",783.54M,-2.38%,DAX
6/15/2008,"6,578.44","6,773.43","6,855.84","6,547.40",813.84M,-2.76%,DAX
6/8/2008,"6,765.32","6,790.18","6,839.32","6,637.75",729.55M,-0.57%,DAX
6/1/2008,"6,803.81","7,098.70","7,102.05","6,796.28",629.73M,-4.13%,DAX
5/25/2008,"7,096.79","6,923.94","7,124.61","6,905.86",632.81M,2.20%,DAX
5/18/2008,"6,944.05","7,177.02","7,231.86","6,934.54",659.92M,-2.97%,DAX
5/11/2008,"7,156.55","7,021.29","7,205.96","7,001.33",651.57M,2.19%,DAX
5/4/2008,"7,003.17","7,036.99","7,107.53","6,961.63",605.22M,-0.57%,DAX
4/27/2008,"7,043.23","6,914.40","7,092.82","6,851.52",526.26M,2.13%,DAX
4/20/2008,"6,896.58","6,840.68","6,945.25","6,656.86",746.45M,0.78%,DAX
4/13/2008,"6,843.08","6,561.90","6,860.38","6,516.51",664.74M,3.63%,DAX
4/6/2008,"6,603.57","6,802.55","6,843.25","6,570.74",644.89M,-2.36%,DAX
3/30/2008,"6,763.39","6,530.11","6,806.66","6,429.62",763.87M,3.10%,DAX
3/23/2008,"6,559.90","6,443.45","6,616.45","6,443.36",646.68M,3.80%,DAX
3/16/2008,"6,319.99","6,360.92","6,469.99","6,167.82",1.14B,-2.04%,DAX
3/9/2008,"6,451.90","6,487.11","6,666.58","6,391.56",887.34M,-0.95%,DAX
3/2/2008,"6,513.99","6,692.98","6,720.16","6,450.88",846.54M,-3.47%,DAX
2/24/2008,"6,748.13","6,850.92","7,017.70","6,698.55",790.42M,-0.85%,DAX
2/17/2008,"6,806.29","6,865.57","7,079.74","6,762.77",748.18M,-0.38%,DAX
2/10/2008,"6,832.43","6,723.97","7,062.08","6,690.77",847.02M,0.96%,DAX
2/3/2008,"6,767.28","7,018.64","7,059.19","6,655.65",932.57M,-2.89%,DAX
1/27/2008,"6,968.67","6,749.29","7,037.16","6,680.30",932.15M,2.23%,DAX
1/20/2008,"6,816.74","7,292.68","7,292.68","6,384.40",1.80B,-6.80%,DAX
1/13/2008,"7,314.17","7,692.54","7,759.17","7,287.29",1.09B,-5.23%,DAX
1/6/2008,"7,717.95","7,810.82","7,923.44","7,675.45",925.07M,-1.16%,DAX
12/30/2007,"7,808.69","8,045.97","8,100.64","7,780.27",419.75M,-3.21%,DAX
12/23/2007,"8,067.32","8,038.73","8,073.99","7,991.81",121.61M,0.81%,DAX
12/16/2007,"8,002.67","7,884.17","8,015.42","7,777.40",714.87M,0.68%,DAX
12/9/2007,"7,948.36","7,972.70","8,117.79","7,873.27",646.98M,-0.57%,DAX
12/2/2007,"7,994.07","7,859.39","8,009.76","7,785.12",697.35M,1.57%,DAX
11/25/2007,"7,870.52","7,642.10","7,894.47","7,444.62",745.23M,3.44%,DAX
11/18/2007,"7,608.96","7,608.20","7,634.46","7,474.51",862.69M,-0.04%,DAX
11/11/2007,"7,612.26","7,780.49","7,866.01","7,564.66",887.27M,-2.56%,DAX
11/4/2007,"7,812.40","7,790.89","7,918.92","7,701.87",845.62M,-0.47%,DAX
10/28/2007,"7,849.49","7,989.40","8,038.41","7,792.37",617.09M,-1.25%,DAX
10/21/2007,"7,949.17","7,819.28","7,970.57","7,763.64",764.13M,0.83%,DAX
10/14/2007,"7,884.12","8,039.80","8,039.80","7,870.73",658.37M,-1.95%,DAX
10/7/2007,"8,041.26","8,008.76","8,063.83","7,955.04",662.68M,0.49%,DAX
9/30/2007,"8,002.18","7,851.29","8,014.16","7,831.40",585.73M,1.79%,DAX
9/23/2007,"7,861.51","7,777.20","7,882.18","7,717.44",645.79M,0.86%,DAX
9/16/2007,"7,794.43","7,497.09","7,809.24","7,433.23",913.69M,3.96%,DAX
9/9/2007,"7,497.74","7,437.69","7,545.23","7,369.70",635.22M,0.82%,DAX
9/2/2007,"7,436.63","7,643.64","7,725.34","7,420.83",608.22M,-2.64%,DAX
8/26/2007,"7,638.17","7,525.59","7,659.72","7,353.82",550.79M,1.74%,DAX
8/19/2007,"7,507.27","7,400.45","7,591.52","7,345.13",603.60M,1.75%,DAX
8/12/2007,"7,378.29","7,380.18","7,497.65","7,190.36",1.08B,0.48%,DAX
8/5/2007,"7,343.26","7,390.88","7,614.24","7,293.52",1.08B,-1.24%,DAX
7/29/2007,"7,435.67","7,460.71","7,632.83","7,386.60",881.15M,-0.21%,DAX
7/22/2007,"7,451.68","7,880.29","7,944.21","7,372.89",960.69M,-5.37%,DAX
7/15/2007,"7,874.85","8,101.53","8,130.72","7,864.18",659.78M,-2.69%,DAX
7/8/2007,"8,092.77","8,077.18","8,151.57","7,799.93",657.74M,0.55%,DAX
7/1/2007,"8,048.32","7,969.27","8,115.06","7,916.47",516.58M,0.51%,DAX
6/24/2007,"8,007.32","7,896.91","8,007.74","7,750.62",659.49M,0.73%,DAX
6/17/2007,"7,949.63","8,044.73","8,131.73","7,905.18",740.12M,-1.01%,DAX
6/10/2007,"8,030.64","7,623.33","8,032.97","7,595.69",1.07B,5.80%,DAX
6/3/2007,"7,590.50","7,973.68","8,010.39","7,499.43",871.61M,-4.97%,DAX
5/27/2007,"7,987.85","7,758.86","8,001.63","7,675.89",614.89M,3.21%,DAX
5/20/2007,"7,739.20","7,614.04","7,774.36","7,599.49",756.07M,1.73%,DAX
5/13/2007,"7,607.54","7,505.00","7,613.62","7,418.26",721.45M,1.71%,DAX
5/6/2007,"7,479.34","7,523.95","7,538.59","7,304.61",692.72M,-0.50%,DAX
4/29/2007,"7,516.76","7,369.24","7,526.51","7,361.36",647.43M,1.88%,DAX
4/22/2007,"7,378.12","7,348.01","7,412.53","7,218.72",647.00M,0.48%,DAX
4/15/2007,"7,342.54","7,229.06","7,366.59","7,155.05",720.02M,1.81%,DAX
4/8/2007,"7,212.07","7,102.47","7,213.20","7,087.29",485.80M,1.58%,DAX
4/1/2007,"7,099.91","6,911.13","7,103.73","6,891.80",515.13M,2.64%,DAX
3/25/2007,"6,917.03","6,899.33","6,965.84","6,788.33",618.18M,0.26%,DAX
3/18/2007,"6,899.06","6,622.76","6,902.62","6,614.14",789.74M,4.85%,DAX
3/11/2007,"6,579.87","6,727.57","6,752.18","6,444.70",927.20M,-2.03%,DAX
3/4/2007,"6,716.52","6,510.95","6,745.06","6,437.25",776.36M,1.71%,DAX
2/25/2007,"6,603.32","6,992.12","7,040.20","6,544.28",1.12B,-5.57%,DAX
2/18/2007,"6,992.58","6,967.53","7,012.34","6,922.36",652.38M,0.51%,DAX
2/11/2007,"6,957.07","6,892.03","6,979.02","6,844.39",632.68M,0.67%,DAX
2/4/2007,"6,911.11","6,878.67","6,928.98","6,849.85",654.29M,0.37%,DAX
1/28/2007,"6,885.76","6,702.45","6,904.88","6,683.38",790.26M,2.92%,DAX
1/21/2007,"6,690.34","6,753.73","6,771.42","6,627.96",725.72M,-0.84%,DAX
1/14/2007,"6,747.17","6,719.53","6,754.55","6,651.68",629.14M,0.63%,DAX
1/7/2007,"6,705.17","6,603.55","6,705.17","6,531.25",705.84M,1.70%,DAX
12/31/2006,"6,593.09","6,614.73","6,704.04","6,588.03",462.89M,-0.06%,DAX
12/24/2006,"6,596.92","6,525.99","6,629.33","6,525.76",138.25M,1.44%,DAX
12/17/2006,"6,503.13","6,588.25","6,615.68","6,493.99",425.27M,-1.30%,DAX
12/10/2006,"6,588.83","6,449.76","6,605.15","6,447.94",677.10M,2.51%,DAX
12/3/2006,"6,427.41","6,258.91","6,440.56","6,230.30",537.70M,2.98%,DAX
11/26/2006,"6,241.13","6,400.49","6,419.97","6,195.81",669.45M,-2.66%,DAX
11/19/2006,"6,411.96","6,394.08","6,497.06","6,367.20",460.61M,-0.01%,DAX
11/12/2006,"6,412.36","6,350.65","6,452.13","6,344.10",654.48M,0.86%,DAX
11/5/2006,"6,357.77","6,249.92","6,366.65","6,249.92",625.03M,1.87%,DAX
10/29/2006,"6,241.15","6,230.86","6,311.93","6,201.00",612.51M,-0.34%,DAX
10/22/2006,"6,262.54","6,216.46","6,304.78","6,185.51",627.23M,0.96%,DAX
10/15/2006,"6,202.82","6,178.36","6,218.57","6,106.19",515.19M,0.47%,DAX
10/8/2006,"6,173.68","6,064.88","6,188.69","6,054.67",520.99M,1.44%,DAX
10/1/2006,"6,085.82","6,019.34","6,097.87","5,944.57",544.16M,1.36%,DAX
9/24/2006,"6,004.33","5,898.90","6,031.55","5,864.99",622.40M,2.06%,DAX
9/17/2006,"5,883.32","5,932.51","5,979.87","5,857.89",625.41M,-0.92%,DAX
9/10/2006,"5,937.87","5,774.31","5,953.72","5,737.20",722.29M,2.46%,DAX
9/3/2006,"5,795.26","5,890.01","5,917.24","5,753.67",416.11M,-1.38%,DAX
8/27/2006,"5,876.54","5,808.37","5,907.16","5,767.83",458.19M,1.12%,DAX
8/20/2006,"5,811.47","5,804.66","5,847.11","5,744.11",484.18M,-0.10%,DAX
8/13/2006,"5,817.02","5,661.07","5,849.37","5,659.71",543.14M,3.35%,DAX
8/6/2006,"5,628.37","5,685.46","5,709.10","5,557.59",708.30M,-1.65%,DAX
7/30/2006,"5,723.03","5,704.56","5,741.80","5,583.96",528.34M,0.31%,DAX
7/23/2006,"5,705.42","5,460.12","5,708.33","5,460.12",566.69M,4.67%,DAX
7/16/2006,"5,451.01","5,437.08","5,587.28","5,365.06",574.60M,0.53%,DAX
7/9/2006,"5,422.22","5,678.11","5,711.04","5,422.22",481.80M,-4.57%,DAX
7/2/2006,"5,681.85","5,688.00","5,729.59","5,608.95",374.60M,-0.03%,DAX
6/25/2006,"5,683.31","5,542.74","5,698.21","5,420.08",481.84M,2.78%,DAX
6/18/2006,"5,529.74","5,388.83","5,580.82","5,382.58",548.54M,2.86%,DAX
6/11/2006,"5,376.01","5,458.38","5,507.60","5,243.71",819.98M,-1.61%,DAX
6/4/2006,"5,464.08","5,685.56","5,691.69","5,383.28",722.06M,-3.92%,DAX
5/28/2006,"5,687.04","5,782.49","5,784.29","5,533.12",657.49M,-1.75%,DAX
5/21/2006,"5,788.36","5,653.85","5,788.47","5,513.43",756.18M,2.05%,DAX
5/14/2006,"5,672.28","5,893.00","5,902.44","5,587.92",883.22M,-4.12%,DAX
5/7/2006,"5,916.28","6,126.96","6,162.37","5,915.74",758.12M,-3.22%,DAX
4/30/2006,"6,113.29","6,014.38","6,113.29","5,962.86",564.22M,1.72%,DAX
4/23/2006,"6,009.89","6,058.75","6,121.95","6,003.91",738.15M,-1.39%,DAX
4/16/2006,"6,094.75","5,915.11","6,108.69","5,866.85",454.35M,2.98%,DAX
4/9/2006,"5,918.57","5,951.08","6,004.71","5,860.50",407.74M,-0.58%,DAX
4/2/2006,"5,952.92","5,989.08","6,047.98","5,947.56",510.11M,-0.29%,DAX
3/26/2006,"5,970.08","5,972.15","5,993.90","5,863.07",561.03M,-0.05%,DAX
3/19/2006,"5,973.14","5,895.78","5,977.06","5,847.90",612.23M,1.54%,DAX
3/12/2006,"5,882.38","5,820.74","5,947.43","5,807.61",648.42M,1.33%,DAX
3/5/2006,"5,804.92","5,742.07","5,804.95","5,664.19",590.33M,1.46%,DAX
2/26/2006,"5,721.46","5,888.81","5,916.80","5,691.21",562.98M,-2.54%,DAX
2/19/2006,"5,870.79","5,795.68","5,884.22","5,766.99",473.92M,1.30%,DAX
2/12/2006,"5,795.48","5,699.44","5,814.79","5,683.88",552.67M,1.65%,DAX
2/5/2006,"5,701.47","5,667.18","5,745.49","5,598.05",565.47M,0.78%,DAX
1/29/2006,"5,657.12","5,636.24","5,760.63","5,614.29",575.32M,0.17%,DAX
1/22/2006,"5,647.42","5,311.90","5,650.95","5,290.49",747.38M,5.58%,DAX
1/15/2006,"5,349.02","5,464.98","5,515.26","5,344.52",530.38M,-2.45%,DAX
1/8/2006,"5,483.09","5,543.34","5,553.55","5,463.78",579.81M,-0.96%,DAX
1/1/2006,"5,536.32","5,410.24","5,537.58","5,409.28",443.16M,2.37%,DAX
12/25/2005,"5,408.26","5,422.07","5,469.96","5,385.07",151.76M,-0.20%,DAX
12/18/2005,"5,419.05","5,342.93","5,425.62","5,322.83",370.99M,1.22%,DAX
12/11/2005,"5,353.66","5,316.46","5,356.67","5,274.97",550.22M,1.35%,DAX
12/4/2005,"5,282.13","5,303.92","5,309.93","5,222.24",476.28M,-0.49%,DAX
11/27/2005,"5,307.99","5,218.28","5,307.99","5,155.34",490.54M,2.19%,DAX
11/20/2005,"5,194.27","5,140.35","5,204.14","5,127.07",399.34M,1.38%,DAX
11/13/2005,"5,123.50","5,083.27","5,162.51","5,063.86",575.62M,0.64%,DAX
11/6/2005,"5,090.75","4,994.54","5,092.80","4,983.75",517.62M,1.91%,DAX
10/30/2005,"4,995.24","4,854.59","5,013.95","4,854.59",607.93M,3.51%,DAX
10/23/2005,"4,825.64","4,838.25","4,930.89","4,762.75",506.31M,-0.26%,DAX
10/16/2005,"4,838.40","4,987.66","4,999.00","4,825.96",551.70M,-2.76%,DAX
10/9/2005,"4,975.56","5,027.28","5,065.17","4,929.11",524.16M,-0.64%,DAX
10/2/2005,"5,007.77","5,060.99","5,138.02","4,980.62",534.77M,-0.72%,DAX
9/25/2005,"5,044.12","4,938.18","5,061.84","4,938.18",527.83M,3.31%,DAX
9/18/2005,"4,882.58","4,928.14","4,967.31","4,827.86",598.15M,-2.08%,DAX
9/11/2005,"4,986.50","5,028.49","5,035.39","4,888.03",616.22M,-0.39%,DAX
9/4/2005,"5,005.93","4,853.60","5,020.47","4,850.53",436.33M,3.48%,DAX
8/28/2005,"4,837.81","4,756.68","4,874.89","4,726.33",449.55M,1.13%,DAX
8/21/2005,"4,783.80","4,933.74","4,954.41","4,783.80",415.62M,-2.96%,DAX
8/14/2005,"4,929.91","4,935.22","4,953.46","4,834.16",455.88M,-0.15%,DAX
8/7/2005,"4,937.33","4,837.05","4,990.57","4,827.30",544.41M,2.28%,DAX
7/31/2005,"4,827.18","4,882.39","4,934.94","4,827.18",496.31M,-1.21%,DAX
7/24/2005,"4,886.50","4,843.69","4,913.02","4,819.42",560.27M,1.03%,DAX
7/17/2005,"4,836.90","4,717.59","4,865.72","4,705.29",547.58M,2.63%,DAX
7/10/2005,"4,712.90","4,616.36","4,723.65","4,616.36",523.01M,2.50%,DAX
7/3/2005,"4,597.97","4,620.86","4,636.96","4,444.94",553.69M,-0.41%,DAX
6/26/2005,"4,617.07","4,547.27","4,623.80","4,517.44",490.87M,1.11%,DAX
6/19/2005,"4,566.48","4,601.99","4,637.34","4,560.49",504.19M,-0.83%,DAX
6/12/2005,"4,604.57","4,597.33","4,623.58","4,537.91",681.10M,0.40%,DAX
6/5/2005,"4,586.10","4,514.59","4,601.05","4,490.12",498.29M,1.68%,DAX
5/29/2005,"4,510.39","4,445.21","4,551.89","4,440.36",459.69M,1.48%,DAX
5/22/2005,"4,444.71","4,383.02","4,453.01","4,374.49",462.67M,1.93%,DAX
5/15/2005,"4,360.68","4,266.82","4,379.57","4,232.67",465.17M,1.99%,DAX
5/8/2005,"4,275.70","4,305.69","4,306.32","4,232.40",492.17M,-0.82%,DAX
5/1/2005,"4,311.06","4,208.63","4,314.98","4,205.05",394.27M,3.02%,DAX
4/24/2005,"4,184.84","4,214.97","4,249.86","4,157.51",555.37M,-0.90%,DAX
4/17/2005,"4,223.04","4,266.27","4,266.27","4,159.95",622.64M,-2.07%,DAX
4/10/2005,"4,312.25","4,388.81","4,422.88","4,309.25",493.16M,-2.01%,DAX
4/3/2005,"4,400.68","4,355.84","4,413.24","4,323.24",414.24M,0.62%,DAX
3/27/2005,"4,373.53","4,331.96","4,393.20","4,308.92",325.52M,0.69%,DAX
3/20/2005,"4,343.60","4,322.47","4,347.72","4,275.55",372.34M,0.38%,DAX
3/13/2005,"4,327.18","4,353.73","4,392.17","4,295.70",539.34M,-0.76%,DAX
3/6/2005,"4,360.49","4,424.77","4,435.31","4,330.21",545.62M,-1.42%,DAX
2/27/2005,"4,423.52","4,360.34","4,424.28","4,335.04",543.69M,1.72%,DAX
